Names	total	elements
		BEND7
		MAD1L1
		KCNC3
		HSF4
		MAP6D1
		TNK2
		ZSWIM8
		NICN1
		ARG1
		KIF2C
		PSENEN
		RAB11FIP3
		GUCY2D
		TBC1D3C
		HBD
		SLPI
		SERF1B
		OLAH
		MEGF8
		SETD6
		TMC1
		PLD5
		TBKBP1
		IER5L
		PAK3
		ATG4D
		TSPAN33
		VWF
		VPS33B
		GALNT12
		POMGNT1
		SH3GLB2
		OR2T2
		TICRR
		DNAJC25-GNG10
		ATF5
		NRG2
		PYCR1
		ZNF497
		VPS37D
		WAS
		ZBTB7A
		SLC4A2
		GTF2H4
		ARHGEF18
		HNRNPUL1
		PFKFB3
		EREG
		SYCE1
		CLCN7
		MCAM
		CDH6
		OR7C1
		MAP3K10
		CDCA7
		MAP7D2
		CAMP
		TRIM69
		LCTL
		OBSCN
		PCGF2
		KLHL4
		CALY
		LRRC3C
		TNS1
		IL1RAP
		C10orf95
		NDOR1
		TJP1
		PRKAG3
		TPRN
		LENG8
		TXNDC5
		RALGDS
		ICOSLG
		C3orf80
		CDC20
		SCGB3A1
		TAF4
		TRIM9
		LHFPL4
		PRAP1
		KY
		G0S2
		NHEJ1
		FKBP1B
		ZNRF2
		TUBB3
		ASB16
		CXXC5
		ANKRD24
		ZNF653
		GCHFR
		PPP1R12C
		GRAMD4
		MSANTD1
		ANO7
		PMCH
		AMACR
		S100A1
		GJB7
		TMEM40
		ZNF787
		SUN2
		OSBPL6
		CELF3
		GRB14
		PLK4
		MT1X
		PICK1
		SLC35F3
		FBN1
		RPL30
		KAT2A
		RSPH10B2
		MMEL1
		AKAP17A
		PEX6
		HOXA7
		BUB1
		POLQ
		DYNLRB1
		PBK
		ANKRD9
		AZU1
		HSFX2
		LIX1
		LCNL1
		NOMO3
		ARHGAP23
		EGR3
		IFRD1
		CCL2
		AMIGO1
		FBXL19
		SKA1
		ATG9B
		SPDYC
		CRISP3
		ZSCAN1
		C16orf96
		TRIP13
		MAZ
		GPR88
		TAF6L
		GALNT4
		TROAP
		FAM86B2
		ANGPT1
		CASKIN1
		VIPR2
		FAM151A
		TEF
		FBXO43
		EPHA1
		KCNJ14
		BCL7C
		CLDN19
		PMF1-BGLAP
		TNFSF12-TNFSF13
		DHRS9
		DNAH2
		CREB5
		ASB15
		DMRTC1
		PPAN
		SCLY
		SIAH1
		PLIN1
		FGFRL1
		SH2D4A
		CXCR5
		RPS15
		ACE
		PSMA2
		SPINK2
		LGALSL
		OPN1SW
		JAG2
		BTBD6
		DEFA3
		GLYATL1
		L1CAM
		SKA3
		NXPH4
		TAGLN
		SHD
		TBC1D3F
		PLCXD1
		TIGD7
		TK1
		MGAM
		FOXP4
		PRDM11
		GOLGA8M
		RPL26
		LIPM
		KLF1
		ARHGEF11
		C1QTNF4
		PGP
		RGPD4
		ARMC3
		PCDHGA2
		DNM3
		GIT1
		PGAM5
		KREMEN2
		ACRV1
		CCDC154
		GRB10
		RHPN1
		MMP28
		CLSTN1
		ASXL3
		HNF1A
		NBEAL2
		EFCAB10
		MEN1
		TMEM150C
		RARA
		ANKRD16
		CARM1
		SHCBP1
		NPFF
		PTPRS
		SFRP5
		MIXL1
		KRTAP5-1
		DNMT3L
		ZNF580
		DAB2
		CMTM2
		ASPM
		FITM1
		NT5C3A
		UBE2S
		STARD6
		SH2D3A
		ZDHHC8
